,sentence
1955,১৯৫১ সালের মধ্যে তিনি তাঁর প্রথম স্বামীর সাথে বিবাহ বিচ্ছেদ ঘটান
1956,তবে  তাঁর নামটি সযত্নে নিজের নামের সাথে রেখে দেন
1957,তিনি ন্যাশনাল ফেমিনিস্ট পার্টি প্রতিষ্ঠা করেছিলেন
1958,আইনসভায় দায়িত্ব পালন করেন
1959,তাঁর আপ্রাণ প্রচেষ্টার ফলেই অবশেষে ১৯৪৬ সালে মহিলাদের দাসত্বমোচন ঘটে
1960,এছাড়াও প্রথম পানামানীয় মহিলা হিসেবে জুভেনিল কোর্টের বিচারক মনোনীত হন
1961,তিনি জুভেনিল কোডের খসড়া প্রণয়নে সহায়তা করেন
1962,চাপালা জুভেনিল রিফর্মেটরি প্রতিষ্ঠা করেন
1963,শিশু অবস্থায় তিনি তাঁর পরিবারের সাথে কোস্টারিকায় বসবাস করেন
1964,সেখানে ১৯০০ থেকে ১৯০৪ সালে পর্যন্ত তারা নির্বাসনে ছিলেন
1965,১৯১৮ সালে এস্কুলা নরম্যাল থেকে শিক্ষা বিষয়ে ডিগ্রী লাভ করেন
1966,তবে আইনচর্চা করা থেকে তাঁকে নিবৃত্ত করা হয়েছিল
1967,এরকম একটি একক কার্যকে ব্ল্যাক ব্যাগ অপারেশনও বলা হয়
1968,সন্ত্রাসী হামলার দায় স্বীকার করেছে জঙ্গিগোষ্ঠী ইসলামিক স্টেট  আইএস
1969,ঘটনাস্থলে ছয়জন নিহত হন
1970,হামলার সঙ্গে জড়িত সন্দেহে সাত নারীসহ ১২ জনকে গ্রেপ্তার করেছে পুলিশ
1971,প্রতিক্রিয়া  হামলার তীব্র নিন্দা জানান প্রধানমন্ত্রী থেরেসা মে
1972,তিনি এটিকে ভয়ংকর হিসেবে চিহ্নিত করেছেন
1973,সরকারের পক্ষ থেকে জরুরি কমিটির বৈঠক ডাকা হয়
1974,আমরা আপনাদের পাশে আছি  ঈশ্বর সহায় হোন
1975,এটা জনপ্রিয় টিভি সিরিজ মি  বিনের উপর ভিত্তি করে নির্মিত ২য় চলচ্চিত্র
1976,চলচ্চিত্রটি ২০০৭ সালের ২৪শে মার্চ সারা বিশ্বে মুক্তি পেয়েছিল
1977,কিন্তু ২৫ মিলিয়ন ডলারের চলচ্চিত্রটি প্রায় ২২৯ ৭ মিলিয়ন ডলার আয় করে
1978,কাহিনী  মি  বিন একটি গির্জার র‍্যাফেল ড্র তে প্রথম পুরস্কার জিতে
1979,এরপর সে ট্রেনে কানের উদ্দেশ্যে যাত্রা শুরু করে
1980,পরে সেই শিশুটির সাথে তাঁর বন্ধুত্ব হয়
1981,এবং তাঁরা দুজনেই একসাথে কানের উদ্দেশ্যে যাত্রা শুরু করে
1982,এরপর যাত্রাপথে ঘটতে থাকে অনেক মজার মজার ঘটনা
1983,চলচ্চিত্রটিতে রয়েছে সুসঙ্গতিপূর্ণ  বাস্তবধর্মী পটভুমি
1984,চলচ্চিত্রটির মূল গান ছিল ম্যাট উইললিসের  ক্রাশ
1985,এটি ১৮১১ সালের ১৫ অক্টোবর প্রতিষ্ঠিত হয়
1986,এই জায়গাটি দেখতে প্রতি বছর লাখো পর্যটক ভিড় করেন
1987,এসময় দায়িত্বরত আরেকজন পুলিশ কর্মকর্তা তাকে গুলি করে হত্যা করে
1988,সেখানে তখন যৌথ অধিবেশন চলছিল
1989,বাকি সদস্যরা পার্লামেন্ট ভবনের ভেতরে কয়েক ঘণ্টার জন্য আটকা পড়েন
1990,সেসময় কয়ামা তামাকে দত্তক নেয়
1991,স্টেশন মাস্টার হিসাবে তার প্রাথমিক দায়িত্ব হল যাত্রীদের সম্ভাষণ করা
1992,তার নতুন পদে একটি কার্যালয়  ছোট বাক্স সম্বিলিত একটি টিকেট বুথ
1993,তামাকে অনুসৃত হয় তার সহকারী  নিতামা  দ্বারা
1994,তাঁর বাবার নাম মোহাম্মদ সোলায়মান এবং মায়ের নাম ছেমন খাতুন
1995,তাঁর স্ত্রীর নাম দিলদার বেগম
1996,তাঁদের তিন ছেলে  এক মেয়ে
