,Inflected_sentences
5611,যিহি          মথি            স্পষ্টতই  যিহোবা তাঁর বিশ্বস্ত দাসদের নয় বরং সেই বিষয় অথবা ব্যক্তিকে দূর করছেন  যার কারণে তাঁর লোকেরা বিরোধিতার মুখোমুখি হচ্ছে
5612,সোনার সংসার
5613,সাব্বির ইউনুসোভিচ ইউনুসোভ  মার্চ          তাসখন্দ   নভেম্বর           একজন সোভিয়েত এবং উজবেক রসায়নবিদ  তিনি এলক্যালয়েড রসায়নে গবেষণার জন্য সুপরিচিত
5614,রহমান  আজিজুর             গীতিকার  কবি
5615,রোনাল্ড জর্জ রেফর্ড নোরিশ
5616,ইশতিয়াক আহমেদ খান এবং মো ওয়াহিদুল হাবিব
5617,ইরানের স্বৈরশাসকের অবসান চেয়ে স্বাধীন দেশ হিসেবে লিবিয়ার আনন্দে তাঁরা শামিল হয়েছেন
5618,আমি জানি অনেক পুলিশ কর্মকর্তা পুলিশ প্রহারায় থাকা বন্দিদের মারধোর করে কিন্তু তারা নিশ্চিত করে যেন চো্খে পড়ে এমন কোন চিহ্ন দেখা না যায় কিন্তু খালেদের ছবির দিকে তাকাই এটা নিছকই এক নির্মমতা  সে কিছু পাশবিক ব্যক্তির পাশবিকতার শিকার
5619,বাড়ির দোয়াত বা কলম কদাচিৎ এ রকম দুরবস্থায় থাকে একই সাথে দুটোর এ রকম হাল বিরল ঘটনা বললেই চলে
5620,গ্রেভস কোথায়
5621,ঢাকা বিশ্ববিদ্যালয়ের জৈব রসায়ন বিষয়ে প্রভাষক হিসেবে নিযুক্ত হন
5622,যেভাবে আপনার আত্মীয়স্বজনের সঙ্গে শান্তি বজায় রাখা যায়
5623,সিম্পল প্ল্যান চারটি অ্যালবাম প্রকাশ করেছে   নো প্যাডস  নো হেলমেটস   জাস্ট বলস           স্টিল নট গেটিং এনি             সিম্পল প্ল্যান         এবং  গেট ইওর হার্ট অন
5624,লাইভ জার্নালের ভিকিং নোরড এর মতো কিছু ব্লগাররা পুতিনের সম্প্রতি ঘোষিত বিবাহ বিচ্ছেদ এর সাথে তাঁর মাছ ধরার বিষয়টিকে জড়িয়ে মজা করেছেন
5625,না
5626,ঐশিক পরিচর্যা বিদ্যালয়
5627,স্ক্যানার মেশিনটা তোমার গাড়িতে রেখে আসতে পারো
5628,তার জন্মনাম জুডিথ তুভিম
5629,প্রেরিত পৌল আমাদেরকে জগতের নয় বরং ঈশ্বরের চিন্তাভাবনার দ্বারা গঠিত এমন ব্যক্তি হয়ে ওঠার জন্য  আমাদের  জ্ঞানেন্দ্রিয় সকল  ব্যবহার করতে উৎসাহিত করেন
5630,তবে খোলার একদিন পর সরকার গ্যালারিটির নাম পরিবর্তন করে  জাপানী দখলদারিত্ব পেরিয়ে  যুদ্ধ এবং এর উত্তরাধিকার  রেখেছে
5631,পরবর্তীকালে তিনি ওয়েস্টার্ন অস্ট্রেলিয়ান ক্রিকেট অ্যাসোসিয়েশনের জ্যেষ্ঠ প্রশাসক হিসেবে কাজ করেছেন
